,List of Tweets
100,RT @tmazgal: @texas_hurricane @petluvers4Trump @MagaMammy @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA @sh_irredeemable @TrumpsGAGirl…
101,RT @OrgPhysics: Hurricane Irma as seen from the international space station https://t.co/yCGVjk5wwO
102,"RT @tburages: Which is more impeachable?

1. Firing Comey because of “that Russia thing” and bragging to Kremlin officials about it

2. Ext…"
103,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/JMwZCnyZXy
104,@missjulialee @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/pwP9NJUAVb
105,"♥️ Help Glow Save Lives ♥️
SHARE RETWEET SUPPORT DONATE

⬇️PLEASE SUPPORT⬇️

https://t.co/zsEGoBmHqx  

@psallocco… https://t.co/f77IQvuyTA"
106,@Chickory19 @conidave @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/WwGagIC13c
107,RT @girlscouts: 17-year-old Lindsey Smith hopes her act will help others while also illustrating what’s at the core of the Girl Scouts — se…
108,"RT @deviIette: Hurricane Lorenzo looks like it could cover Puerto Rico, Hispanola AND Cuba from how fucking massive it is https://t.co/foll…"
109,@ginaC777 @conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/MwKJuFkgDN
110,RT @BEEHAPP80133168: @texas_hurricane @mcgilh @MagaMammy @petluvers4Trump @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA @sh_irredeemab…
111,RT @BarackObama: Bahamian families and communities face a long recovery from Hurricane Dorian. And Americans are reaching out to help. Brit…
112,@ginaC777 @conidave @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/A8yTbTrmJI
113,"RT @severeweatherEU: *Tropical* Impressive view of now CAT4 Hurricane #Lorenzo by GOES East satellite this afternoon, September 26th. Photo…"
114,@missjulialee @Lo_Gannicus @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/ayhTgRNLzm
115,"Man, the weather today was wicked.

Woke up in a storm, had a nice late lunch outdoors in the sun, went back to cla… https://t.co/rbTLduPVzE"
116,@Brandaid_ Hurricane
117,"@MyRealmKALentz Ok, this is horror movie bad &amp; I don't want to give you nightmares, but after a hurricane some rats… https://t.co/JSrC9gt6mB"
118,RT @severeweatherEU: *Tropical Watch for #hurricane #Lorenzo* A potentially dangerous hurricane Lorenzo is heading towards #Azores mid-next…
119,"RT @MichaelRLowry: Really for any time of year, a hurricane this strong so far east is remarkably impressive. #Lorenzo #HurricaneLorenzo ht…"
120,@Lo_Gannicus @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/Z1C2x0ygPY
121,https://t.co/EwRJkyLd6t
122,"What was that? Don't you know love is always a hurricane!?

「アンだとコラ 恋はいつもハリケーンなんだよ！！」

サンジ

https://t.co/YACrgXE3Qg"
123,@Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399 @pigeonberry1836… https://t.co/VvWa07GQkZ
124,RT @YourManScarf: The year is 2029. The survivors of Hurricane Old Spice® have been herded into a sprawling refugee camp just north of Colu…
125,@conidave @ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/7SOGNKT8le
126,"RT @WAVY_News: Hurricane Lorenzo is a BEAST. 

Thankfully it's predicted to stay far away from us. https://t.co/SKFVa47Fr9"
127,@HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/1SiearHzrA
128,RT @burgwx: Hurricane Lorenzo reached category 4 intensity unusually far to the east. Most category 4 hurricanes reach such intensity west…
129,"@bacodkiller @qs_kahfi @rockygerung Look kak,
Hurricane yg tiba gak bisa dihentikan.
Ia akan memporak-porandakan ap… https://t.co/na24NSa5nK"
130,"@KeraRolsen I have a Humanitarian Service, and it wasn't easy to get, and I earned it during hurricane Katrina."
131,RT @1929home: @ByronYork Code for CIA sending someone to surveil Trump.  Same story Second play. Crossfire Hurricane 2.0. When will this en…
132,@conidave @ginaC777 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/MyvjFNc3g7
133,"RT @mercycorps: 💧Check out how our #Dorian team is using desalinization #tech to produce 7,500 gallons of clean water in Grand #Bahama. Sho…"
134,@Lo_Gannicus @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/t3fFTG6seI
135,"RT @bengleib: On a bus in Puerto Rico with @IsraAID heading to Patillas to learn about water, sanitation &amp; hygiene efforts after Hurricane…"
136,"RT @UM_IHPI: When it comes to studying health issues related to natural disasters, @sueannebell is in the eye of the hurricane. That's why…"
137,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/Zytzev5Ajc
138,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/P4VhTRplZJ
139,@conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/BaCU13nueV
140,"RT @splillo: NHC 3 UTC update bumps #Lorenzo up to 125kt.

This is officially the strongest hurricane on record this far east in the Atlant…"
141,"Despite dry conditions, here's Hurricane #lentils with #AscochytaBlight from Minlaton. Pls monitor your crops. If d… https://t.co/85UjHxiZCz"
142,Lorenzo a very powerful category 4 hurricane with 145 MPH winds. Very unusual to have such a powerful hurricane so… https://t.co/VApxfjCLBe
143,RT @sunnytheon: guys https://t.co/DmJE1WVpcu
144,Drone helps filmmaker rescue pets stranded in the Bahamas after Hurricane Dorian https://t.co/8rABJinajp
145,"Drone helps filmmaker rescue pets stranded in the Bahamas after Hurricane Dorian
https://t.co/CcuqfPBnrl"
146,"RT @GeorgWebb: If Watnick was the Eyes and Ears in the White House, it doesn’t matter.  Sue Gordon and Mike Morell are the brains that wrot…"
147,Lorenzo now a more organized and powerful hurricane on NASA satellite imagery https://t.co/oh63RNfQcl via @physorg_com
148,RT @katondori: 😔 https://t.co/lM0jhMSgRL
149,@conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/L69HbbyfNX
150,"RT @MichaelRLowry: Rarely (if ever?) do you see a hurricane of this caliber this far east in the Atlantic, *especially* this late in the se…"
151,"RT @JoJoFromJerz: This is my little hurricane.
She’s smart, funny, sneaky, and kind. She makes every day an adventure, and I am so incredib…"
152,@HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/iuYQauTKfI
153,I wholeheartedly believe Trump did a great job handling the Puerto Rico hurricane situation. https://t.co/p5dEHapVhl
154,"Adam Sandler Performs Neil Young's ""Like a Hurricane"" https://t.co/YfIDoniFJ1 vía @YouTube"
155,"RT @StuOstro: Epic #hurricane structure of #Lorenzo, fortunately not near land given its current intensity &amp; size, though it's propagating…"
156,"@hurricane_pass @twt_yoonny @attention_89 @gray_euphoria @S_Navka @161orion @igotsomanyhopes @stormybitch93 Гуки, н… https://t.co/XEph7ooOjn"
157,@DaisyDees4 Hurricane Michael!
158,"RT @EricBlake12: Remarkably, despite marginal SSTs, #Lorenzo doesn’t show any signs of peaking in intensity. The eyewall convection is deep…"
159,RT @weatherjamaica: A broad area of low pressure is expected to develop into a possible Tropical Storm/Hurricane once it leaves the Western…
160,"RT @CarlowWeather: Tropical Storm #Lorenzo has now formed west of Africa, it is forecast to become a hurricane in the next 48 hours. One to…"
161,RT @JimCantore: Say hello to #lorenzo at 125mph now.  3rd MAJOR hurricane of the 2019 Atlantic season.  Could threaten the Azores by the mi…
162,@brithume @trish_regan Wow.... when you blow the man over you use a hurricane....
163,"RT @Franklin_Graham: .@SamaritansPurse is also in Winnie, TX, where volunteers are hard at work helping #TropicalStormImelda victims. Pray…"
