category;tweet_id;text;date;retweet_count
groundwater contamination;1.14E+18;"*@democracynow Groundwater near 90% of reporting Illinois coal ash sites contain toxic pollutants like arsenic, cobalt, and lithium. Coal ash consists of carcinogens, neurotoxins, and poisons, threatens human health and wildlife alike. https://t.co/CfKHDwBXhF 
https://t.co/iikr13LXoB";6/20/2019 21:50;0
groundwater contamination;1.14E+18;Another significant piece of environmental news in Illinois today. A state board rules that NRG is liable for groundwater contamination from coal ash. https://t.co/iY8vNk7WpT;6/20/2019 19:51;1
groundwater contamination;1.14E+18;Huge victory today in IL for clean water + corporate accountability as Pollution Control Board rules that *@nrgenergy is liable for groundwater contamination from its toxic coal ash in 4 communities in IL. Time to clean up, *@nrgenergy. #beyondcoal https://t.co/KJnLKzBE2r;6/20/2019 19:01;15
groundwater contamination;1.14E+18;A significant development in the ongoing effort to resolve groundwater contamination issues at the site of the Hidden Lane Landfill in #Loudoun. The EPA says it will connect homes affected by the landfill to a public water system. Details here: https://t.co/tn28Zaqwj7 https://t.co/qgf1rC1aU6;6/20/2019 18:33;0
groundwater contamination;1.14E+18;"#Illinois is still allowing the polluting of the water &amp  destroying nature for dirty energy companies. #environment

https://t.co/ogxf3jDa9B";6/20/2019 18:21;1
groundwater contamination;1.14E+18;After #PFAS #contamination was found on Maine dairy farms, contaminating soil, groundwater &amp  milk, Michigan regulators begin to check farms using human waste as fertilizer. Is PFAS getting into the food supply? Over a dozen state a…https://t.co/si8Ix0ku3T https://t.co/VP8AACXyIH;6/20/2019 15:38;0
groundwater contamination;1.14E+18;*@hrrgorman I think the politicization comes a lot from the fear of meltdowns, which I agree is overblown. But I do think worries about groundwater contamination and such are more reasonable given current tech and energy funding.;6/20/2019 14:39;0
groundwater contamination;1.14E+18;*@MonteWall2 *@EnergyInDepth Out of civility, I will leave the theology out of the discussion, but the effects of coal and oil burning and related spills are not fear mongering. https://t.co/SHkjFCkkkl;6/20/2019 14:10;0
groundwater contamination;1.14E+18;*@MonteWall2 *@EnergyInDepth And do you genuinely believe those outweigh the costs of poisoning the air and water from coal emissions, coal ash spills, and groundwater aquifer contamination that will persist long past 4-20 generations from now?;6/20/2019 13:34;0
groundwater contamination;1.14E+18;Dear #WisconsinStateFarmer #KewauneeCounty #residents are #payingforit #bigtime Best, Retiring Guy #CAFOs #groundwater #manure #contamination https://t.co/nJUB4ocylo https://t.co/KR5tWyGSgW;6/20/2019 12:38;0
groundwater contamination;1.14E+18;"While  locating groundwater in the Satara, Solapur and Sangli region, researchers from the Indian Institute of Geomagnetism point out that there is urgent need to protect the existing aquifers from contamination.
https://t.co/ESSgNAzkmg via *@STEAMindiaReports";6/20/2019 10:11;5
groundwater contamination;1.14E+18;NEW to Earthwise. Assessing microbiological contamination in groundwater sources - https://t.co/YicCrwVKGd *@BritGeoSurvey #geology #groundwater https://t.co/K85gZ2qRQv;6/20/2019 9:01;1
groundwater contamination;1.14E+18;"Swachh Bharat Mission:

Opposition called it Jumla.

But

In 2018, WHO said Swachh Bharat Mission would save 3 lakh lives in India after it is totally open-defecation free.

Now in 2019, UNICEF study reveals Swachh Bharat Mission in villages has reduced groundwater contamination.";6/20/2019 1:12;0
groundwater contamination;1.14E+18;"“...PFAS are extremely stable &amp  can travel easily from water to soil to animals to fish to humans...PFAS used in firefighting foam at the Williamtown RAAF Base NSW were found kilometres away in groundwater, seawater, &amp  agricultural &amp  seafood supplies.”
https://t.co/ZPrr5Swueg";6/19/2019 23:45;2
groundwater contamination;1.14E+18;"""In north-west NSW, a proposed CSG extraction project threatens the GAB, risking contamination and depressurisation. Santos has stated that depressurisation of groundwater head will have a significant impact on local groundwater resources.""
https://t.co/HwqwGfxQ3q";6/19/2019 23:32;40
groundwater contamination;1.14E+18;"👿👺👺👺'Trump administration considers uranium mining in Grand Canyon, threatening ancient Native American tribe
   'If this groundwater contamination happens in particular, there’s no going back'
    The Trump... https://t.co/FHb81thHdz";6/19/2019 23:02;0
groundwater contamination;1.14E+18;"""This is an example of good intentions gone awry. I am talking about the arsenic contamination of groundwater in Bangladesh, which is the source of potable water for ninety-five present of the people of Bangladesh."" - Nadim Khandaker https://t.co/rLRu7HbbcW #SDG6 #Bangladesh";6/19/2019 21:00;0
groundwater contamination;1.14E+18;We've got our own Fukushima in the form of the Hanford nuclear facility just up the river. Despite its many problems in the past 3 years  leaks, contaminated workers, groundwater contamination, people still get more worked up over Japan than what's... https://t.co/fWkOC3D6pw;6/19/2019 19:14;0
groundwater contamination;1.14E+18;"""At former and active military bases near Dallas, Austin and San Antonio, firefighting foam has caused PFAS contamination levels thousands of times higher than what the CDC deems safe,"" writes *@collins_reports https://t.co/j9UgF6oTP5";6/19/2019 18:44;6
groundwater contamination;1.14E+18;(July 2018): The Former SWAMPY Coal Lobbyist Now Leading the EPA Gutted Coal Ash Regulations allowing for contamination of groundwater https://t.co/xXwhHivZFg;6/19/2019 18:32;8
groundwater contamination;1.14E+18;What does Michigan have a lot of? ~Water.~ I haven't seen many in-depth reports on coal ash contamination. This four-part series demonstrates how particle ash produced by coal power plants can negatively affect water quality. https://t.co/6MQEwuF0It;6/19/2019 15:58;0
groundwater contamination;1.14E+18;An average of 200,000 Indian lives are lost every year due to inadequate supply or contamination of water. Twenty-one major Indian cities are estimated to run out of groundwater by 2020 -- just a year away. https://t.co/OktMH9H5jq;6/19/2019 15:16;1
groundwater contamination;1.14E+18;New York’s Westchester County claims airport groundwater contamination from the use of firefighting foams will be heard as part of a widespread consolidation of similar federal cases. https://t.co/6umF9wF1y5;6/19/2019 14:52;0
groundwater contamination;1.14E+18;*@thehill More bullshit, as groundwater PFAS contamination is becoming more known, and micro plastics are being found in major waterways and oceans, with sea life choking on the plastic debris.;6/19/2019 13:20;0
groundwater contamination;1.14E+18;*@PrinSciAdvGoI *@veenas_water *@IMDWeather *@MinOfJalShakti *@paramiyer_ Thanks *@PrinSciAdvGoI for the tweet and *@veenas_water for the spark. Another idea is the need to mitigate at all costs groundwater contamination (biological/chemical) through developing computer generated visualisation for public use.;6/19/2019 6:35;0
groundwater contamination;1.14E+18;Hmm. https://t.co/C99K7v7dht;6/19/2019 4:27;0
groundwater contamination;1.14E+18;KDHE: Study shows no link between decades of Haysville groundwater contamination, increase in cancer cases https://t.co/XNf6ALqs4a https://t.co/zDFgk0se8Q;6/19/2019 4:02;0
